index,pred_key,pred_value,gt_key,gt_value,match
20,type,,type,Golf Ball Line Marker,False
20,model number,,model number,,True
21,category,óculos de ciclismo,category,,False
21,brand,POC,brand,,False
21,sport type,,sport type,,True
21,item type,,item type,,True
21,gender,men and women,gender,Men,False
21,intended_use,ciclismo,intended_use,,False
22,category,ski jacket,category,,False
22,brand,New,brand,,False
22,sizes,,sizes,,True
22,waterproof,Waterproof,waterproof,,False
22,color,,color,,True
22,gender,,gender,Men,False
22,intended_use,"Snowboarding, Cross Country Skiing",intended_use,,False
22,material,,material,,True
23,category,swimwear,category,,False
23,brand,KLV,brand,,False
23,brand name,,brand name,,True
23,sport type,,sport type,,True
23,year,2018,year,,False
23,features,['Flounce Push-Up Padded'],features,,False
23,design,Print,design,,False
23,style,bikini,style,,False
23,pattern type,,pattern type,,True
23,origin,brazilian,origin,,False
24,category,beachwear,category,,False
24,color,,color,Print,False
24,design,sexy Print Bandage,design,,False
24,style,panty,style,,False
24,intended_use,praia,intended_use,,False
24,season,Summer,season,,False
24,material,,material,,True
24,pattern type,,pattern type,,True
24,size,,size,,True
25,category,guitarra elétrica,category,,False
25,brand,unknown,brand,,False
25,hardware,Floyd Rose,hardware,,False
25,fingerboard material,,fingerboard material,,True
25,body,Mahogany,body,,False
25,color,black,color,,False
25,customizable,True,customizable,,False
25,fretboard,Rosewood,fretboard,,False
25,body material,,body material,,True
25,back / side material,,back / side material,,True
25,pickups,2,pickups,,False
26,category,raquete de tênis,category,,False
26,brand,,brand,,True
26,features,['Shock Absorber'],features,,False
26,intended_use,absorver impactos,intended_use,,False
26,material,silicone,material,,False
26,model number,,model number,,True
27,category,dança,category,,False
27,brand,Women Breath Fitness,brand,,False
27,lines,Burst Lines,lines,,False
27,style,dance shoes,style,,False
27,gender,feminino,gender,Women,False
27,dance shoe type,,dance shoe type,,True
27,intended_use,practice,intended_use,,False
27,athletic shoe type,,athletic shoe type,,True
28,category,ski equipment,category,,False
28,brand,,brand,,True
28,color,,color,,True
28,intended_use,carrying snowboard,intended_use,,False
28,material,Oxford,material,,False
28,type,,type,Snowboard,False
28,size,,size,,True
29,category,monocular,category,,False
29,brand,,brand,,True
29,features,"['Day Night Vision', 'Dual Focus', 'Phone Photo Clip']",features,,False
29,intended_use,Outdoor Camping Hiking Telescope,intended_use,,False
29,lens_type,HD,lens_type,,False
29,type,,type,Monocular,False
29,model number,,model number,,True
30,category,table tennis,category,,False
30,brand,DOUBLE FISH,brand,,False
30,material,"rubber, wood",material,,False
30,key_features,"['Double face', 'Portable', 'Durable']",key_features,,False
30,model number,,model number,,True
31,category,biquínis,category,,False
31,brand,PLAVKY,brand,,False
31,brand name,,brand name,,True
31,color,white,color,,False
31,design,floral,design,,False
31,style,ruffed,style,,False
31,gender,,gender,Women,False
31,neckline,off shoulder,neckline,,False
31,type,bathing suit,type,,False
32,category,swimwear,category,,False
32,brand,Seobean Brand,brand,,False
32,sport type,,sport type,,True
32,item type,,item type,,True
32,description1,,description1,Men Swimwear Briefs,False
32,description4,,description4,Men&#39;s Swimsuits,False
32,gender,,gender,Men,False
32,intended_use,swimming,intended_use,,False
32,type,briefs,type,,False
33,category,guitarra elétrica,category,,False
33,brand,,brand,,True
33,color,Transparent,color,,False
33,body material,,body material,,True
33,material,Maple,material,,False
33,key_attributes,"['semi hollow', 'Body Jazz Electric Guitar']",key_attributes,,False
33,back / side material,,back / side material,,True
34,category,futsal,category,,False
34,brand,Futzalki,brand,,False
34,upper material,,upper material,,True
34,color,,color,,True
34,intended_use,soccer,intended_use,,False
34,athletic shoe type,,athletic shoe type,,True
34,material,leather,material,,False
34,size,,size,,True
35,category,óculos de proteção para neve,category,,False
35,brand,,brand,,True
35,sizes,,sizes,,True
35,color,,color,,True
35,gender,,gender,Men,False
35,intended_use,"snowmobile, snowboard, snow protection, skateboarding",intended_use,,False
35,material,,material,,True
36,keys,10,keys,,False
36,category,Musical Instrument,category,,False
36,number of keys,,number of keys,,True
36,keyboard material,,keyboard material,,True
36,intended_use,Accompaniment,intended_use,,False
36,material,Wood + Metal,material,,False
36,shell material,,shell material,,True
36,size,17*13*4.5CM,size,17*13*4.5CM,True
36,model number,,model number,,True
37,category,jaqueta,category,,False
37,brand,NIKE,brand,,False
37,collar,,collar,Hooded,False
37,features,['Hooded'],features,,False
37,gender,,gender,Men,False
37,intended_use,Sportswear,intended_use,,False
37,material,cotton-padded,material,,False
38,category,violão,category,,False
38,brand,ZONAEL,brand,,False
38,case,com caso,case,,False
38,bow,com bow,bow,,False
38,brand name,,brand name,,True
38,top material,,top material,,True
38,accessories,['Rosin'],accessories,,False
38,material,basswood,material,,False
38,fingerboard material,,fingerboard material,,True
38,size,Full Size,size,4/4,False
38,model number,,model number,,True
39,category,dança,category,,False
39,brand,,brand,,True
39,colors,More colors available,colors,,False
39,heel_height,"['6.5cm', '7.5cm']",heel_height,,False
39,gender,,gender,Women,False
39,dance shoe type,,dance shoe type,,True
39,intended_use,Ballroom/Latin,intended_use,,False
39,athletic shoe type,,athletic shoe type,,True
40,category,Reel,category,,False
40,brand,LIE YU WANG,brand,,False
40,gear_ratio,6.3:1,gear_ratio,,False
40,fishing method,,fishing method,,True
40,hand,Right Left Hand,hand,,False
40,wheel,Water Drop Wheel,wheel,,False
40,material,Coil,material,,False
40,gear ratio,,gear ratio,,True
40,type,Bait Casting Reel,type,,False
41,category,Golf,category,,False
41,brand,,brand,,True
41,features,Heart Pattern for Closure,features,,False
41,intended_use,Protect Cover,intended_use,,False
41,material,PU Leather,material,PU Leather Golf Head Cover,False
41,size,3-PW Club,size,,False
42,category,accessories,category,,False
42,intended_use,outdoor backpack hydration,intended_use,,False
42,quantity,3Pcs/Lot,quantity,,False
42,size,,size,L,False
43,category,bicicleta elétrica,category,,False
43,brand,,brand,,True
43,power,36V 280w,power,,False
43,color,,color,,True
43,features,"['Foldable', 'Disc Brake (Front and Back)', 'Single Seat']",features,,False
43,battery capacity,,battery capacity,8AH,False
43,power supply,,power supply,,True
43,material,,material,,True
43,voltage,,voltage,36V,False
43,battery_capacity,8AH,battery_capacity,,False
43,motor,,motor,280w,False
43,size,12inch,size,,False
44,category,bicicleta de montanha,category,,False
44,suspension,full Suspension,suspension,,False
44,item number,,item number,,True
44,material,carbon,material,carbon,True
44,frame_size,27.5er,frame_size,,False
44,model size,,model size,27.5er,False
44,wheel_size,18inch,wheel_size,,False
45,category,óculos de proteção para esportes,category,,False
45,brand,WoSporT,brand,,False
45,sport type,,sport type,,True
45,brand name,,brand name,,True
45,item type,,item type,,True
45,features,"['double', 'windproof', 'dustproof']",features,,False
45,intended_use,esportes de neve,intended_use,,False
45,material,anti-fog,material,,False
46,category,jaqueta fitness,category,,False
46,brand,SOVICI,brand,,False
46,outerwear type,,outerwear type,,True
46,sport type,,sport type,,True
46,color,camuflado,color,,False
46,gender,,gender,Men,False
46,intended_use,corrida,intended_use,,False
46,material,compression,material,,False
46,sleeve_type,long sleeve,sleeve_type,,False
47,category,mochila de água,category,,False
47,brand,,brand,,True
47,color,4 cores,color,,False
47,capacity,2L,capacity,2L,True
47,intended_use,"caça, camping, ciclismo, militar",intended_use,,False
47,material,TPU,material,TPU,True
48,category,óculos de proteção para esportes ao ar livre,category,,False
48,brand,,brand,,True
48,sizes,,sizes,,True
48,sport type,,sport type,,True
48,item type,,item type,,True
48,color,,color,,True
48,gender,,gender,Men,False
48,material,,material,,True
48,key_attributes,"['Anti-Fog', 'Double Lens', 'Outdoor Mountaineering', 'Skiing', 'Snowboarding']",key_attributes,,False
48,model number,,model number,,True
49,category,calçados esportivos,category,,False
49,brand,Fine Zero,brand,,False
49,sizes,,sizes,,True
49,brand name,,brand name,,True
49,color,,color,,True
49,style,High Ankle Soccer Boots,style,,False
49,intended_use,football,intended_use,,False
49,material,socks,material,,False
50,category,equipamento de pistolas,category,,False
50,brand,FIRECLUB,brand,,False
50,brand name,,brand name,,True
50,color,,color,,True
50,intended_use,adicionar scope sight flashlight laser,intended_use,,False
50,material,,material,,True
51,category,shorts,category,,False
51,brand,,brand,,True
51,sizes,,sizes,,True
51,sport type,,sport type,,True
51,item type,,item type,,True
51,color,,color,,True
51,gender,,gender,Men,False
51,material,elastic,material,,False
51,key_attributes,"['quick dry', 'loose', 'leisure', 'sportswear', 'running shorts', 'bodybuilding']",key_attributes,,False
52,category,violão,category,,False
52,brand,FULL Violino,brand,,False
52,intended_use,iniciante,intended_use,,False
52,material,Madeira,material,,False
52,type,Violão,type,,False
52,size,4/4,size,4/4,True
53,category,camisa de basquete,category,,False
53,brand,MSSNNG,brand,,False
53,sport type,,sport type,,True
53,school,Bethei High School,school,,False
53,brand name,,brand name,,True
53,year,2003,year,,False
53,gender,,gender,Men,False
53,intended_use,basquetebol,intended_use,,False
53,model,#3,model,,False
53,player,Allen Iverson,player,,False
54,category,mochila,category,,False
54,brand,Hunt,brand,,False
54,color,camuflagem,color,,False
54,type of sports,,type of sports,Hunting,False
54,intended_use,"caça, ciclismo, motociclismo, airsoft, paintball",intended_use,,False
54,size,20L,size,,False
55,category,sweater,category,,False
55,brand,Vans,brand,,False
55,sport type,,sport type,,True
55,features,['hooded'],features,,False
55,gender,,gender,Men,False
55,intended_use,skateboarding,intended_use,,False
55,material,cotton,material,Cotton,False
55,sleeve_type,long sleeve,sleeve_type,,False
55,feature,,feature,Breathable,False
55,model number,,model number,,True
56,category,jaqueta de treino,category,,False
56,brand,,brand,,True
56,sizes,,sizes,,True
56,outerwear type,,outerwear type,,True
56,color,,color,,True
56,gender,,gender,Women,False
56,material,,material,,True
56,key_attributes,"['windproof', 'full zipper', 'sportwear', 'long sleeve', 'thumb hole', 'slim fit', 'fitness', 'gym', 'yoga', 'basic']",key_attributes,,False
57,category,skateboarding shoes,category,,False
57,brand,Adidas,brand,,False
57,brand name,,brand name,,True
57,gender,Women's,gender,Women,False
57,intended_use,Skateboarding,intended_use,,False
57,model,NEO Label CLOUDFOAM ULTIMATE,model,,False
57,athletic shoe type,,athletic shoe type,,True
58,category,camisa militar,category,,False
58,brand,,brand,,True
58,sizes,,sizes,,True
58,color,,color,,True
58,gender,,gender,Men,False
58,material,,material,,True
58,key_attributes,"['Outdoor', 'Waterproof', 'Breathable', 'Tactical', 'Long Sleeve', 'Hiking', 'Fishing']",key_attributes,,False
59,category,tent,category,,False
59,brand,,brand,,True
59,style,,style,Outdoor,False
59,intended_use,"Camping, Backpacking, Beach",intended_use,,False
59,material,Silicone Coated Weatherproof,material,,False
59,seasons,['3 Seasons'],seasons,,False
59,size,1-2 Persons,size,,False
59,model number,,model number,,True
60,category,dança,category,,False
60,brand,,brand,,True
60,color,,color,,True
60,gender,,gender,Women,False
60,intended_use,"Latin dance, ballroom tango, salsa party dancing",intended_use,,False
60,athletic shoe type,,athletic shoe type,,True
60,material,,material,,True
60,decorations,,decorations,Glitter,False
60,size,24-40,size,,False
61,category,skateboard bearings,category,,False
61,brand,,brand,,True
61,material,ZrO2 Ceramic,material,ZrO2,False
61,quantity,8pcs/set,quantity,,False
61,size,8*22*7mm,size,8*22*7mm,True
61,model number,,model number,,True
62,category,Equestrian Equipment,category,,False
62,brand,,brand,,True
62,name,,name,Horse Whip,False
62,intended_use,Horse Racing,intended_use,,False
62,material,Bull Leather,material,Genuine Bull Leather,False
62,length,300 cm,length,,False
63,category,basketball shoes,category,,False
63,brand,MIVNSKVE,brand,,False
63,color,"black, blue",color,,False
63,gender,,gender,Men,False
63,athletic shoe type,,athletic shoe type,,True
63,size,39-45,size,,False
64,category,swimwear,category,,False
64,sizes,,sizes,,True
64,sport type,,sport type,,True
64,color,,color,,True
64,features,['UV Protection'],features,,False
64,gender,,gender,Women,False
64,intended_use,praia,intended_use,,False
64,material,,material,,True
65,category,calçados esportivos,category,,False
65,brand,,brand,,True
65,color,,color,,True
65,closure type,,closure type,,True
65,gender,,gender,Men,False
65,athletic shoe type,,athletic shoe type,,True
65,key_attributes,"['outdoor', 'breathable', 'lace-up', ""women's sneakers"", 'athletic', 'air cushion']",key_attributes,,False
65,feature,,feature,Breathable,False
65,size,36~47,size,,False
66,category,medals,category,,False
66,brand,,brand,,True
66,whole set,,whole set,Gold +Silver +Bronze,False
66,color,"Gold, Silver, Bronze",color,,False
66,diameter,,diameter,6.5cm,False
66,intended_use,Sport match Souvenirs,intended_use,,False
66,material,Zinc Alloy,material,Zinc Alloy,True
66,type,,type,Medal,False
66,size,6.5cm,size,,False
67,category,Golf Accessories,category,,False
67,conformation,,conformation,Hollow Golf Ball,False
67,features,['Airflow Hollow'],features,,False
67,hardness,,hardness,Hollow,False
67,intended_use,Practice,intended_use,,False
67,quantity,1 Pcs,quantity,,False
67,material,plastic,material,,False
67,ball type,,ball type,,True
68,category,rifle accessories,category,,False
68,brand,,brand,,True
68,item,,item,Adapter,False
68,color,,color,,True
68,intended_use,hunting rifle scope mounts,intended_use,,False
68,material,,material,,True
68,width,,width,11mm,False
68,size,,size,,True
69,category,mounts,category,,False
69,brand,FIRE WOLF,brand,,False
69,brand name,,brand name,,True
69,material,,material,,True
69,key_attributes,"['Heavy Duty', 'Picatinny Laser Scope Mount']",key_attributes,,False
69,size,25.4mm Ring Hole 20mm Rail 11mm Rail,size,,False
70,category,calçados esportivos,category,,False
70,brand,Fires,brand,,False
70,brand name,,brand name,,True
70,gender,masculino,gender,Men,False
70,level of practice,,level of practice,,True
70,intended_use,futebol,intended_use,,False
70,athletic shoe type,,athletic shoe type,,True
70,material,indoor sports shoes,material,,False
70,type,treinamento,type,,False
71,category,jaqueta,category,,False
71,brand,AGEKUSL,brand,,False
71,brand name,,brand name,,True
71,waterproof,True,waterproof,,False
71,color,,color,,True
71,intended_use,"hiking, camping, snowboarding, cycling",intended_use,,False
71,material,fleece,material,,False
71,outdoor jacket type,,outdoor jacket type,,True
72,category,dice bags,category,Bags,False
72,brand,,brand,,True
72,intended_use,Game,intended_use,,False
72,material,,material,,True
72,size,10*6cm,size,,False
73,category,swimsuit,category,,False
73,brand,,brand,,True
73,sport type,,sport type,,True
73,color,,color,,True
73,gender,,gender,Girls,False
73,intended_use,Children's swimwear,intended_use,,False
73,material,,material,,True
73,styles,['Type One Piece'],styles,,False
73,size,Small,size,,False
74,category,jaqueta de corrida,category,,False
74,brand,XTEP,brand,,False
74,sport type,,sport type,,True
74,brand name,,brand name,,True
74,color,solid color,color,,False
74,season,inverno,season,,False
74,intended_use,fashion,intended_use,,False
74,model number,,model number,,True
75,category,calçados esportivos,category,,False
75,brand,,brand,,True
75,color,luminous,color,,False
75,key_attributes,"['couple', 'sport', 'walking shoes', 'usb charging', 'colorful lights', 'fluorescent']",key_attributes,,False
75,size,W58,size,,False
75,model number,,model number,,True
76,category,wetsuit pants,category,,False
76,brand,,brand,,True
76,thickness,1.5MM,thickness,,False
76,color,black,color,Black,False
76,intended_use,"swimming, surfing, scuba diving, snorkeling",intended_use,,False
76,material,neoprene,material,Neoprene,False
76,item name,,item name,Wetsuit Pants,False
77,category,shorts,category,,False
77,brand,Colorvalue,brand,,False
77,sizes,,sizes,,True
77,sport type,,sport type,,True
77,item type,,item type,,True
77,color,,color,,True
77,gender,,gender,Women,False
77,material,,material,,True
77,key_attributes,"['Sport Running', 'Quick Dry', 'Loose Widen Waistband', 'Lace-up Low Waist']",key_attributes,,False
78,category,sweaters,category,,False
78,brand,Li-Ning,brand,,False
78,style,Sweaters,style,,False
78,gender,,gender,Men,False
78,intended_use,regular fit,intended_use,,False
78,material,"cotton, polyester",material,,False
79,category,Gloves,category,,False
79,brand,Sireck,brand,,False
79,sizes,,sizes,,True
79,sport type,,sport type,,True
79,brand name,,brand name,,True
79,intended_use,Cycling,intended_use,,False
79,season,,season,Winter,False
79,material,"Fleece, Thermal, Windproof, Waterproof",material,,False
80,size,"['13 mm', '15 mm']",size,,False
80,intended_use,"Club Bar Supplies, Drinking Dice Entertainment Accessories",intended_use,,False
80,material,Copper alloy,material,,False
80,type,,type,Dice,False
80,model number,,model number,,True
81,category,binoculars,category,,False
81,brand,,brand,,True
81,age_group,over 3 years old,age_group,,False
81,intended_use,toy,intended_use,,False
81,material,plastic,material,,False
81,type,,type,Binoculars,False
81,size,4X30,size,,False
81,model number,,model number,,True
82,category,biquíni,category,,False
82,brand,PLAVKY,brand,,False
82,brand name,,brand name,,True
82,color,Brazilian,color,,False
82,design,Bandage,design,,False
82,style,Scoop Neck,style,,False
82,gender,,gender,Women,False
82,intended_use,piscina/praia,intended_use,,False
83,category,Roller Skates,category,,False
83,brand,,brand,,True
83,color,,color,,True
83,gender,,gender,Women,False
83,athletic shoe type,,athletic shoe type,,True
83,material,,material,,True
83,key_attributes,"['LED Flashing', 'Double Wheel', 'Invisible Pulley', 'Glowing']",key_attributes,,False
83,size,,size,,True
84,category,basketball shoes,category,,False
84,brand,Nike,brand,,False
84,sizes,,sizes,,True
84,brand name,,brand name,,True
84,color,,color,,True
84,gender,,gender,Men,False
84,model,Air Jordan Spizike,model,,False
84,intended_use,Basketball,intended_use,,False
84,material,,material,,True
84,athletic shoe type,,athletic shoe type,,True
85,category,BBQ tools,category,,False
85,brand,,brand,,True
85,color,,color,,True
85,material,Gas,material,,False
85,key_attributes,"['Butane Gas', 'Ignition Flamethrower', 'Burn Gas Jet', 'Portable', 'Outdoor Camping Tool']",key_attributes,,False
85,size,,size,,True
85,fuel,,fuel,Gas,False
86,category,table tennis,category,,False
86,brand,Double Fish,brand,,False
86,accessories,"['2 Ping Pong Paddles', '3 Ping Pong Balls']",accessories,,False
86,packaging,Carry Bag,packaging,,False
86,model number,,model number,,True
87,category,fishing lure,category,Lure,False
87,brand,Mepps,brand,,False
87,color,Multi Colors,color,,False
87,hook_type,Treble Hook,hook_type,,False
87,intended_use,Inshore Fishing,intended_use,,False
87,quantity,4 pcs/lot,quantity,,False
87,material,Metal,material,,False
87,lure_type,Spooners,lure_type,,False
87,model number,,model number,,True
88,category,golf equipment,category,,False
88,brand,,brand,,True
88,sizes,,sizes,,True
88,color,,color,,True
88,derivative series,,derivative series,,True
88,material,,material,,True
88,key_attributes,"['Dual-Bristle', 'Golf Club Brush Groove Cleaner', 'Ball Cleaning Tool', 'with Hook']",key_attributes,,False
88,model number,,model number,,True
89,category,basketball shoes,category,,False
89,brand,Brand,brand,,False
89,gender,,gender,Men,False
89,athletic shoe type,,athletic shoe type,,True
89,intended_use,Sport,intended_use,,False
90,category,camiseta de ciclismo,category,,False
90,brand,Life on Track,brand,,False
90,brand name,,brand name,,True
90,color,verde,color,,False
90,design,Printing com tema montanha,design,,False
90,material,Breathable,material,,False
90,type,,type,Mask,False
91,category,calçados esportivos,category,,False
91,brand,PGM,brand,,False
91,sport type,,sport type,,True
91,item type,,item type,,True
91,fabric type,,fabric type,,True
91,features,"['Breathable', 'Ultra Light', 'Non Slip']",features,,False
91,sleeve length,,sleeve length,,True
91,gender,,gender,Men,False
91,intended_use,Golf,intended_use,,False
91,material,Air Mesh,material,,False
92,category,calçados esportivos,category,,False
92,brand,,brand,,True
92,color,,color,,True
92,gender,,gender,Men,False
92,intended_use,basquetebol,intended_use,,False
92,athletic shoe type,,athletic shoe type,Golf Shoes,False
92,material,,material,,True
92,feature,,feature,Breathable,False
92,size,,size,,True
93,color,"['White', 'Red', 'Blue', 'Black']",color,,False
93,screw_type,Screw,screw_type,,False
93,gender,,gender,Men,False
93,athletic shoe type,,athletic shoe type,,True
93,quantity,12PCS/LOT,quantity,,False
93,material,Nylon,material,,False
93,feature,,feature,Breathable,False
94,category,swimwear,category,,False
94,brand,BF,brand,,False
94,intended_use,"racing, swimming",intended_use,,False
94,material,elastic,material,,False
94,type,trunks,type,,False
94,model number,,model number,,True
95,category,roupas de inverno,category,,False
95,brand,Mountainskin,brand,,False
95,sizes,,sizes,,True
95,sport type,,sport type,,True
95,item type,,item type,,True
95,color,,color,,True
95,intended_use,"Outdoor Sports, Hiking, Camping, Trekking",intended_use,,False
95,material,Softshell Fleece,material,,False
96,category,jaqueta de treino,category,,False
96,brand,Maxmessy,brand,,False
96,sizes,,sizes,,True
96,brand name,,brand name,,True
96,color,,color,,True
96,inside,,inside,Fleece,False
96,item no.,,item no.,,True
96,gender,,gender,Women,False
96,intended_use,treino,intended_use,,False
96,material,compression,material,,False
96,model number,,model number,,True
97,category,Bikini,category,,False
97,brand,New Brand,brand,,False
97,outerwear type,,outerwear type,,True
97,sport type,,sport type,,True
97,brand name,,brand name,,True
97,collar,,collar,Hooded,False
97,style,Two Piece Swimsuit,style,,False
97,gender,,gender,Women,False
97,intended_use,Swimming,intended_use,,False
98,category,Fishing Tackle,category,,False
98,brand,GUGUFISH,brand,,False
98,sport type,,sport type,,True
98,gender,,gender,Women,False
98,intended_use,Fishing,intended_use,,False
98,quantity,5pcs/lots,quantity,,False
98,material,Wood,material,,False
98,pattern type,,pattern type,,True
99,category,violão,category,,False
99,brand,ammoon,brand,,False
99,product type,,product type,,True
99,brand name,,brand name,,True
99,features,"['electric', 'silencioso', '4/4', 'ebony fingerboard', 'pegs', 'chin rest', 'tailpiece', 'hard case']",features,,False
99,plastic type,,plastic type,,True
99,material,madeira sólida,material,,False
99,type,violin,type,,False
100,category,skateboarding shoes,category,/,False
100,brand,Adidas,brand,,False
100,size,,size,/,False
100,product type,,product type,,True
100,style,Low Top,style,,False
100,position,,position,/,False
100,plastic type,,plastic type,,True
100,intended_use,Skateboarding,intended_use,,False
100,material,,material,/,False
100,shape,,shape,Fishing Float,False
100,type,,type,Fishing Float,False
100,model number,,model number,,True
101,category,leggings,category,,False
101,brand,CALOFE,brand,,False
101,sizes,,sizes,,True
101,brand name,,brand name,,True
101,top material,,top material,,True
101,color,black,color,,False
101,material,Spandex,material,,False
101,key_attributes,"['3D', 'High Waist', 'Fitness', 'Sexy', 'Push Up']",key_attributes,,False
101,fingerboard material,,fingerboard material,,True
101,size,,size,4/4,False
102,category,Golf Accessories,category,,False
102,brand,LumiParty,brand,,False
102,sizes,,sizes,,True
102,brand name,,brand name,,True
102,color,,color,,True
102,upper height,,upper height,,True
102,gender,,gender,Men,False
102,athletic shoe type,,athletic shoe type,,True
102,material,,material,,True
102,key_attributes,"['Delicate Craft Markers', 'Unique Markings', 'Golf Cap Clip']",key_attributes,,False
103,category,guitarra elétrica,category,,False
103,brand,New B.C.RICH,brand,,False
