unique_id,id,dataset,split,text,source,category,similarity_score,candidate_example,candidate_text,values_indices,json_answer,attributes,attributes_values,values
1268242,19272,ae-110k,train,Original New Arrival Authentic Nike Air VaporMax Flyknit Women&#39;s Comfortable Running Shoes Sneakers Good Quality 849557-202,,,,,,,"{""brand"": ""Nike"", ""category"": ""running shoes"", ""color"": null, ""size"": null, ""material"": ""Flyknit"", ""intended_use"": ""Comfortable Running""}","['brand', 'category', 'color', 'size', 'material', 'intended_use']","attribute: brand, value: Nike | attribute: category, value: running shoes | attribute: color, value: None | attribute: size, value: None | attribute: material, value: Flyknit | attribute: intended_use, value: Comfortable Running","['Nike', 'running shoes', None, None, 'Flyknit', 'Comfortable Running']"
1132404,24475,ae-110k,train,"Mens cotton Middle Ankle Sock Quick-Drying Sports Socks,Professional basketball running sock Size 6-11",,,,,,,"{""brand"": null, ""category"": ""sock"", ""material"": ""cotton"", ""size"": ""6-11"", ""intended_use"": ""running"", ""ankle_length"": ""middle""}","['brand', 'category', 'material', 'size', 'intended_use', 'ankle_length']","attribute: brand, value: None | attribute: category, value: sock | attribute: material, value: cotton | attribute: size, value: 6-11 | attribute: intended_use, value: running | attribute: ankle_length, value: middle","[None, 'sock', 'cotton', '6-11', 'running', 'middle']"
811811,5869,ae-110k,train,HYFMWZS Original TF Soccer Shoes Men Breathable Soccer Cleats Superfly 2018 Cheap Chuteira Futebol Krasovki Kids Football Boots,,,,"{'json_answer': ""{'Athletic Shoe Type': 'Soccer Shoes', 'Brand Name': 'HYFMWZS', 'Gender': 'Men', 'Soccer Cleats': 'Soccer Shoes', 'Mens Trainers': 'Football Shoes'}"", 'text': 'HYFMWZS Original Indoor Turf Men Soccer Shoes High Quality Cheap Football Shoes For Mens Soft And Breathable Chuteira Futebol'}",HYFMWZS Original Indoor Turf Men Soccer Shoes High Quality Cheap Football Shoes For Mens Soft And Breathable Chuteira Futebol,,"{""brand"": ""HYFMWZS"", ""category"": ""calçados de futebol"", ""intended_use"": ""futebol"", ""material"": ""TF"", ""color"": null, ""sizes"": null, ""key_attributes"": [""Breathable"", ""Superfly 2018""]}","['brand', 'category', 'intended_use', 'material', 'color', 'sizes', 'key_attributes']","attribute: brand, value: HYFMWZS | attribute: category, value: calçados de futebol | attribute: intended_use, value: futebol | attribute: material, value: TF | attribute: color, value: None | attribute: sizes, value: None | attribute: key_attributes, value: ['Breathable', 'Superfly 2018']","['HYFMWZS', 'calçados de futebol', 'futebol', 'TF', None, None, ['Breathable', 'Superfly 2018']]"
515467,23617,ae-110k,train,Cycling Glasses Men Sunglasses Outdoor Sport Women Glasses 3 Pieces Lenses Bike Glasses Mountain Bike Fishing Speedcraft Goggles,,,,,,,"{""brand"": ""Speedcraft"", ""category"": ""óculos de ciclismo"", ""color"": null, ""sizes"": null, ""material"": null, ""key_attributes"": [""3 Pieces Lenses"", ""Bike Glasses"", ""Mountain Bike"", ""Fishing""]}","['brand', 'category', 'color', 'sizes', 'material', 'key_attributes']","attribute: brand, value: Speedcraft | attribute: category, value: óculos de ciclismo | attribute: color, value: None | attribute: sizes, value: None | attribute: material, value: None | attribute: key_attributes, value: ['3 Pieces Lenses', 'Bike Glasses', 'Mountain Bike', 'Fishing']","['Speedcraft', 'óculos de ciclismo', None, None, None, ['3 Pieces Lenses', 'Bike Glasses', 'Mountain Bike', 'Fishing']]"
1288974,12078,ae-110k,train,PEAK Men&#39;s Low-cut Basketball Shoes Tony Parkey P.E TP3 Edition with Big Size,,,,,,,"{""brand"": ""PEAK"", ""category"": ""calçados de basquete"", ""model"": ""Tony Parkey P.E TP3 Edition"", ""size"": ""Big Size""}","['brand', 'category', 'model', 'size']","attribute: brand, value: PEAK | attribute: category, value: calçados de basquete | attribute: model, value: Tony Parkey P.E TP3 Edition | attribute: size, value: Big Size","['PEAK', 'calçados de basquete', 'Tony Parkey P.E TP3 Edition', 'Big Size']"
1896409,14871,ae-110k,validation,Trophy 77cm 1:1 Replica European Champion Clubs&#39; Cup Football Club Soccer Cup Champions League Futebol Fans Craft Souvenir  ,,,,,,,"{""brand"": null, ""category"": ""troféu esportivo"", ""size"": ""77cm"", ""material"": null, ""intended_use"": ""souvenir""}","['brand', 'category', 'size', 'material', 'intended_use']","attribute: brand, value: None | attribute: category, value: troféu esportivo | attribute: size, value: 77cm | attribute: material, value: None | attribute: intended_use, value: souvenir","[None, 'troféu esportivo', '77cm', None, 'souvenir']"
2048554,35134,ae-110k,train,YRRFUOT Men Running Shoes Winter Plus Velvet Keep Warm Sports Shoes Outdoor Trend Sports Brand Damping Non-slip Shoes Zapatillas,,,,,,,"{""brand"": ""YRRFUOT"", ""category"": ""running shoes"", ""material"": ""velvet"", ""intended_use"": ""outdoor running, sports"", ""features"": [""Keep warm"", ""Non-slip""]}","['brand', 'category', 'material', 'intended_use', 'features']","attribute: brand, value: YRRFUOT | attribute: category, value: running shoes | attribute: material, value: velvet | attribute: intended_use, value: outdoor running, sports | attribute: features, value: ['Keep warm', 'Non-slip']","['YRRFUOT', 'running shoes', 'velvet', 'outdoor running, sports', ['Keep warm', 'Non-slip']]"
71907,10409,ae-110k,train,2 STAR T-shirts in Commemoration of Customized Football Shirt Breathable Team Uniforms Football Soccer Jerseys sets,,,,,,,"{""brand"": null, ""category"": ""T-shirt"", ""intended_use"": ""Commemoration of Customized Football Shirt"", ""material"": null, ""color"": null, ""sizes"": null, ""features"": [""Breathable"", ""Team Uniforms"", ""Football Soccer Jerseys""]}","['brand', 'category', 'intended_use', 'material', 'color', 'sizes', 'features']","attribute: brand, value: None | attribute: category, value: T-shirt | attribute: intended_use, value: Commemoration of Customized Football Shirt | attribute: material, value: None | attribute: color, value: None | attribute: sizes, value: None | attribute: features, value: ['Breathable', 'Team Uniforms', 'Football Soccer Jerseys']","[None, 'T-shirt', 'Commemoration of Customized Football Shirt', None, None, None, ['Breathable', 'Team Uniforms', 'Football Soccer Jerseys']]"
83816,5225,ae-110k,train,2017 New  4-5 people 280*200*120cm Super Automatic Ultra-light Building Quick Automatic Opening Camping Tent,,,,"{'json_answer': ""{'Style': 'Outdoor', 'Area': '240*240*175cm'}"", 'text': 'Vidalido Outdoor camping tent barbecue family aluminum pole self-driving in high quality UV 240*240*175cm sunshade pergola'}",Vidalido Outdoor camping tent barbecue family aluminum pole self-driving in high quality UV 240*240*175cm sunshade pergola,,"{""brand"": null, ""category"": ""tent"", ""size"": ""4-5 people"", ""dimensions"": ""280*200*120cm"", ""opening_type"": ""automatic opening""}","['brand', 'category', 'size', 'dimensions', 'opening_type']","attribute: brand, value: None | attribute: category, value: tent | attribute: size, value: 4-5 people | attribute: dimensions, value: 280*200*120cm | attribute: opening_type, value: automatic opening","[None, 'tent', '4-5 people', '280*200*120cm', 'automatic opening']"
1247856,35120,ae-110k,train,Official Original New Arrival Mens NIKE AIR ZOOM VOMERO 11 Running Shoes Sneakers Trainers,,,,,,,"{""brand"": ""NIKE"", ""category"": ""running shoes"", ""model"": ""AIR ZOOM VOMERO 11"", ""intended_use"": ""Running""}","['brand', 'category', 'model', 'intended_use']","attribute: brand, value: NIKE | attribute: category, value: running shoes | attribute: model, value: AIR ZOOM VOMERO 11 | attribute: intended_use, value: Running","['NIKE', 'running shoes', 'AIR ZOOM VOMERO 11', 'Running']"
1267687,12886,ae-110k,train,Original New Arrival 2018 Adidas Pro Spark Low Men&#39;s Basketball Shoes Sneakers  ,,,,,,,"{""brand"": ""Adidas"", ""category"": ""basketball shoes"", ""model"": ""Pro Spark Low"", ""intended_use"": ""basketball""}","['brand', 'category', 'model', 'intended_use']","attribute: brand, value: Adidas | attribute: category, value: basketball shoes | attribute: model, value: Pro Spark Low | attribute: intended_use, value: basketball","['Adidas', 'basketball shoes', 'Pro Spark Low', 'basketball']"
1108346,26004,ae-110k,train,Massage Slippers Striped Reflexology Acupuncture Sandals Foot Acupoint Shoes for Women Men ALS88,,,,,,,"{""brand"": ""ALS88"", ""category"": ""calçados"", ""material"": null, ""color"": null, ""sizes"": null, ""key_attributes"": [""striped"", ""reflexology"", ""acupuncture"", ""foot acupunture""]}","['brand', 'category', 'material', 'color', 'sizes', 'key_attributes']","attribute: brand, value: ALS88 | attribute: category, value: calçados | attribute: material, value: None | attribute: color, value: None | attribute: sizes, value: None | attribute: key_attributes, value: ['striped', 'reflexology', 'acupuncture', 'foot acupunture']","['ALS88', 'calçados', None, None, None, ['striped', 'reflexology', 'acupuncture', 'foot acupunture']]"
1267241,30516,ae-110k,train,Original New Arrival  Adidas Originals GRAPHIC CREW SW Men&#39;s  Pullover Jerseys Sportswear ,,,,,,,"{""brand"": ""Adidas Originals"", ""category"": ""sportswear"", ""intended_use"": ""jerseys"", ""style"": ""pullover""}","['brand', 'category', 'intended_use', 'style']","attribute: brand, value: Adidas Originals | attribute: category, value: sportswear | attribute: intended_use, value: jerseys | attribute: style, value: pullover","['Adidas Originals', 'sportswear', 'jerseys', 'pullover']"
179620,14591,ae-110k,train,ALLBLUE Thrill Stick Wobbler Fishing Lure 70mm/8.8g Sinking Pencil Longcast Shad Minnow 3D Eyes Artificial Bait Bass Pike Lures,,,,,,,"{""brand"": ""ALLBLUE"", ""category"": ""Fishing Lure"", ""size"": ""70mm"", ""weight"": ""8.8g"", ""type"": ""Sinking Pencil Longcast Shad Minnow"", ""features"": [""3D Eyes""]}","['brand', 'category', 'size', 'weight', 'type', 'features']","attribute: brand, value: ALLBLUE | attribute: category, value: Fishing Lure | attribute: size, value: 70mm | attribute: weight, value: 8.8g | attribute: type, value: Sinking Pencil Longcast Shad Minnow | attribute: features, value: ['3D Eyes']","['ALLBLUE', 'Fishing Lure', '70mm', '8.8g', 'Sinking Pencil Longcast Shad Minnow', ['3D Eyes']]"
132541,20979,ae-110k,train,6 Strings 4/4 Electric violin Big Jack Guitar #4-16,,,,,,,"{""brand"": null, ""category"": ""violão elétrico"", ""size"": ""4/4"", ""strings"": ""6"", ""model"": ""Big Jack Guitar #4-16""}","['brand', 'category', 'size', 'strings', 'model']","attribute: brand, value: None | attribute: category, value: violão elétrico | attribute: size, value: 4/4 | attribute: strings, value: 6 | attribute: model, value: Big Jack Guitar #4-16","[None, 'violão elétrico', '4/4', '6', 'Big Jack Guitar #4-16']"
1366688,38942,ae-110k,test,Portable Large Capacity Waterproof Fitness Gym Bag Men Women Oxford Cloth Travel Handbags Sport Crossbody Bag,,,,,,,"{""brand"": null, ""category"": ""gym bag"", ""material"": ""Oxford Cloth"", ""color"": null, ""size"": ""Large Capacity"", ""waterproof"": true, ""intended_use"": ""Fitness, Gym""}","['brand', 'category', 'material', 'color', 'size', 'waterproof', 'intended_use']","attribute: brand, value: None | attribute: category, value: gym bag | attribute: material, value: Oxford Cloth | attribute: color, value: None | attribute: size, value: Large Capacity | attribute: waterproof, value: True | attribute: intended_use, value: Fitness, Gym","[None, 'gym bag', 'Oxford Cloth', None, 'Large Capacity', True, 'Fitness, Gym']"
1407682,21293,ae-110k,validation,"Quality handmade violin handmade violin  , hand craved scroll 1715 violin",,,,"{'json_answer': ""{'Model Number': 'Pillow', 'Dampproof Mat Type': 'Pillow'}"", 'text': 'Outdoor Portable Folding Air Inflatable Pillow Double Sided Flocking Cushion for Plane Hotel Comfortable Traveling camping'}",Outdoor Portable Folding Air Inflatable Pillow Double Sided Flocking Cushion for Plane Hotel Comfortable Traveling camping,,"{""brand"": null, ""category"": ""violino"", ""material"": null, ""color"": null, ""sizes"": null, ""key_attributes"": [""handmade"", ""hand craved scroll"", ""1715 violin""]}","['brand', 'category', 'material', 'color', 'sizes', 'key_attributes']","attribute: brand, value: None | attribute: category, value: violino | attribute: material, value: None | attribute: color, value: None | attribute: sizes, value: None | attribute: key_attributes, value: ['handmade', 'hand craved scroll', '1715 violin']","[None, 'violino', None, None, None, ['handmade', 'hand craved scroll', '1715 violin']]"
1429670,13165,ae-110k,validation,Rear Wheel Bracket Saddle Rack for Dualtron Electric Scooter Skateboard Rear Shelves Frame Support for Ultra Electric Scooter,,,,,,,"{""brand"": null, ""category"": ""suporte para scooter"", ""material"": null, ""color"": null, ""sizes"": null, ""intended_use"": ""suporte para dualtron electric scooter, skateboard""}","['brand', 'category', 'material', 'color', 'sizes', 'intended_use']","attribute: brand, value: None | attribute: category, value: suporte para scooter | attribute: material, value: None | attribute: color, value: None | attribute: sizes, value: None | attribute: intended_use, value: suporte para dualtron electric scooter, skateboard","[None, 'suporte para scooter', None, None, None, 'suporte para dualtron electric scooter, skateboard']"
1215550,34424,ae-110k,train,Newest arcade game console 1/ 2 players 1388 in 1 Arcade Pandora box 6s+ in 1 arcade game station game machine,,,,,,,"{""players"": ""1/2"", ""arcade_games"": ""1388 in 1 Arcade Pandora box 6s+"", ""category"": ""arcade game console"", ""features"": ""1/ 2 players, 1388 in 1 Arcade Pandora box 6s+""}","['players', 'arcade_games', 'category', 'features']","attribute: players, value: 1/2 | attribute: arcade_games, value: 1388 in 1 Arcade Pandora box 6s+ | attribute: category, value: arcade game console | attribute: features, value: 1/ 2 players, 1388 in 1 Arcade Pandora box 6s+","['1/2', '1388 in 1 Arcade Pandora box 6s+', 'arcade game console', '1/ 2 players, 1388 in 1 Arcade Pandora box 6s+']"
1125706,18995,ae-110k,validation,Men Sneakers Running Shoes Lightweight Sneakers Mesh Breathable Sport Shoes Jogging Walking Shoes Athletics Shoes,,,,,,,"{""category"": ""running shoes"", ""material"": ""mesh"", ""intended_use"": ""jogging, walking, athletics""}","['category', 'material', 'intended_use']","attribute: category, value: running shoes | attribute: material, value: mesh | attribute: intended_use, value: jogging, walking, athletics","['running shoes', 'mesh', 'jogging, walking, athletics']"
960253,31370,ae-110k,train,KUTOOK Ski Goggles Double Lens Anti-fog UV Protection For Men Women Windproof Glasses Eyewear Skiing Snow Snowboard Goggles,,,,,,,"{""brand"": ""KUTOOK"", ""category"": ""óculos de neve"", ""lens_type"": ""Double Lens"", ""features"": [""Anti-fog"", ""UV Protection"", ""Windproof""], ""intended_use"": ""Skiing, Snowboarding""}","['brand', 'category', 'lens_type', 'features', 'intended_use']","attribute: brand, value: KUTOOK | attribute: category, value: óculos de neve | attribute: lens_type, value: Double Lens | attribute: features, value: ['Anti-fog', 'UV Protection', 'Windproof'] | attribute: intended_use, value: Skiing, Snowboarding","['KUTOOK', 'óculos de neve', 'Double Lens', ['Anti-fog', 'UV Protection', 'Windproof'], 'Skiing, Snowboarding']"
1267543,9220,ae-110k,train,Original New Arrival 2018 Adidas Neo Label M WB SHL Men&#39;s jacket Hooded Sportswear,,,,,,,"{""brand"": ""Adidas"", ""category"": ""jaqueta esportiva"", ""model"": ""Neo Label M WB SHL"", ""intended_use"": ""esportiva"", ""color"": ""branco"", ""sizes"": [""M""]}","['brand', 'category', 'model', 'intended_use', 'color', 'sizes']","attribute: brand, value: Adidas | attribute: category, value: jaqueta esportiva | attribute: model, value: Neo Label M WB SHL | attribute: intended_use, value: esportiva | attribute: color, value: branco | attribute: sizes, value: ['M']","['Adidas', 'jaqueta esportiva', 'Neo Label M WB SHL', 'esportiva', 'branco', ['M']]"
1681902,32851,ae-110k,train,Tactical 1x Airsoft Red Dot Sight Scope 20mm Rail Mount Collimator Red Dot Sight Base Hunting Scope Shooting ,,,,,,,"{""brand"": ""Tactical"", ""category"": ""sights"", ""model"": ""1x Airsoft Red Dot Sight Scope"", ""color"": null, ""size"": null, ""material"": null, ""key_attributes"": [""Airsoft"", ""Red Dot Sight"", ""20mm Rail Mount"", ""Collimator""]}","['brand', 'category', 'model', 'color', 'size', 'material', 'key_attributes']","attribute: brand, value: Tactical | attribute: category, value: sights | attribute: model, value: 1x Airsoft Red Dot Sight Scope | attribute: color, value: None | attribute: size, value: None | attribute: material, value: None | attribute: key_attributes, value: ['Airsoft', 'Red Dot Sight', '20mm Rail Mount', 'Collimator']","['Tactical', 'sights', '1x Airsoft Red Dot Sight Scope', None, None, None, ['Airsoft', 'Red Dot Sight', '20mm Rail Mount', 'Collimator']]"
1268042,12010,ae-110k,train,Original New Arrival Authentic NIKE JORDAN FORMULA 23 LOW Men&#39;s Breathable Basketball Shoes Sports Sneakers,,,,,,,"{""brand"": ""NIKE"", ""category"": ""calçados esportivos"", ""model"": ""JORDAN FORMULA 23 LOW"", ""color"": null, ""sizes"": null, ""material"": null, ""intended_use"": ""basquetebol""}","['brand', 'category', 'model', 'color', 'sizes', 'material', 'intended_use']","attribute: brand, value: NIKE | attribute: category, value: calçados esportivos | attribute: model, value: JORDAN FORMULA 23 LOW | attribute: color, value: None | attribute: sizes, value: None | attribute: material, value: None | attribute: intended_use, value: basquetebol","['NIKE', 'calçados esportivos', 'JORDAN FORMULA 23 LOW', None, None, None, 'basquetebol']"
67914,38315,ae-110k,train,1Pair Fashion New Funny Novel Emoji 3D Printed Cotton Short Socks Multiplecolors Unisex Socks 10 Colors Sport Short Socks Unisex,,,,,,,"{""brand"": null, ""category"": ""calças"", ""material"": ""cotton"", ""color"": ""multiplecolors"", ""sizes"": null, ""intended_use"": ""Sport""}","['brand', 'category', 'material', 'color', 'sizes', 'intended_use']","attribute: brand, value: None | attribute: category, value: calças | attribute: material, value: cotton | attribute: color, value: multiplecolors | attribute: sizes, value: None | attribute: intended_use, value: Sport","[None, 'calças', 'cotton', 'multiplecolors', None, 'Sport']"
1391347,12255,ae-110k,train,Professional Basketball Shoes Men Athletic Shoe Male Ankle Boots Anti-slip High Top Outdoor Sport Sneakers zapatillas de basquet,,,,,,,"{""brand"": ""N/A"", ""category"": ""tênis esportivo"", ""color"": ""N/A"", ""intended_use"": ""basquete"", ""material"": ""Anti-slip High Top Outdoor Sport Sneakers"", ""size"": ""N/A""}","['brand', 'category', 'color', 'intended_use', 'material', 'size']","attribute: brand, value: N/A | attribute: category, value: tênis esportivo | attribute: color, value: N/A | attribute: intended_use, value: basquete | attribute: material, value: Anti-slip High Top Outdoor Sport Sneakers | attribute: size, value: N/A","['N/A', 'tênis esportivo', 'N/A', 'basquete', 'Anti-slip High Top Outdoor Sport Sneakers', 'N/A']"
2088571,20296,ae-110k,train,bikini funny Swimsuits closed swimwear women 2017 push up swimsuits one piece women monokini brazilian hot sexy swimming suit,,,,,,,"{""category"": ""biquini"", ""intended_use"": ""praia"", ""style"": ""closed swimwear"", ""design"": ""push up"", ""material"": ""nylon"", ""color"": ""brazilian hot sexy""}","['category', 'intended_use', 'style', 'design', 'material', 'color']","attribute: category, value: biquini | attribute: intended_use, value: praia | attribute: style, value: closed swimwear | attribute: design, value: push up | attribute: material, value: nylon | attribute: color, value: brazilian hot sexy","['biquini', 'praia', 'closed swimwear', 'push up', 'nylon', 'brazilian hot sexy']"
604838,7672,ae-110k,train,ESHINES 2018 Women Sport Running Shorts Elastic High Waist Woman Quick Dry Fitness Shorts Fitness Female Yoga Short Pants M/L,,,,"{'json_answer': ""{'Item Type': 'Shorts', 'Sport Type': 'Running', 'Brand Name': 'Leevy', 'Gender': 'Men'}"", 'text': 'Leevy Men Running Shorts Double Layer Sports GYM Professional Fitness Outdoor Jogging Shorts Quick Drying Black Shorts Mens'}",Leevy Men Running Shorts Double Layer Sports GYM Professional Fitness Outdoor Jogging Shorts Quick Drying Black Shorts Mens,,"{""brand"": ""ESHINES"", ""category"": ""shorts"", ""material"": null, ""color"": null, ""sizes"": [""M"", ""L""], ""intended_use"": ""running""}","['brand', 'category', 'material', 'color', 'sizes', 'intended_use']","attribute: brand, value: ESHINES | attribute: category, value: shorts | attribute: material, value: None | attribute: color, value: None | attribute: sizes, value: ['M', 'L'] | attribute: intended_use, value: running","['ESHINES', 'shorts', None, None, ['M', 'L'], 'running']"
